'28113','1','50','120','80'
'28113','2','70','200','140'
'28113','3','50','120','80'
'28113','4','50','120','80'
'28113','5','50','120','80'
'28113','6','50','120','80'
'28113','7','100','200','150'
'28113','8','80','120','100'
'28113','9','1','1','1'
'28113','10','3000','6000','4500'
'28113','11','3000','9000','6000'
'28113','12','80','150','120'
'28113','13','80','150','120'
'28113','14','200','300','250'
'28113','15','200','300','250'
'28113','16','140','200','170'
'28113','17','80','150','120'
'28113','18','200','3000','2000'
'28113','19','6700','6900','6800'
'28113','20','5900','6100','6000'
'28113','21','6300','6500','6400'
'28113','22','18000','36000','25000'
'28113','23','18000','36000','25000'
'28113','24','10','100','50'
