'28113','1','9','15','1','67','0','1','0','0','0','0'
'28113','2','9','15','2','67','0','1','0','0','0','0'
'28113','3','9','15','3','67','0','1','0','0','0','0'
'28113','4','9','15','4','67','0','1','0','0','0','0'
'28113','5','9','15','5','67','0','1','0','0','0','0'
'28113','6','9','15','6','67','0','1','0','0','0','0'
'28113','7','9','15','7','67','0','1','0','0','0','0'
'28113','8','9','15','8','67','0','1','0','0','0','0'
'28113','9','9','15','9','67','0','1','0','0','0','0'
'28113','10','9','15','10','67','0','1','0','0','0','0'
'28113','11','9','15','11','67','0','1','0','0','0','0'
'28113','12','9','15','12','67','0','1','0','0','0','0'
'28113','13','9','15','13','67','0','1','0','0','0','0'
'28113','14','9','15','14','67','0','1','0','0','0','0'
'28113','15','9','15','15','67','0','1','0','0','0','0'
'28113','16','9','15','17','67','0','1','0','0','0','0'
'28113','17','9','15','18','67','0','1','0','0','0','0'
'28113','18','9','15','19','67','0','1','0','0','0','0'
'28113','19','9','15','20','67','0','1','0','0','0','0'
'28113','20','9','15','21','67','0','1','0','0','0','0'
'28113','21','9','15','22','67','0','1','0','0','0','0'
'28113','22','9','15','23','67','0','1','0','0','0','0'
'28113','23','9','15','24','67','0','1','0','0','0','0'
'28113','24','9','15','25','67','0','1','0','0','0','0'
'28113','25','9','15','26','67','0','1','0','0','0','0'
'28113','26','9','15','27','67','0','1','0','0','0','0'
'28113','27','9','15','28','67','0','1','0','0','0','0'
'28113','28','9','15','29','67','0','1','0','0','0','0'
'28113','29','9','15','30','67','0','1','0','0','0','0'
'28113','30','9','15','31','67','0','1','0','0','0','0'
'28113','31','14','6','1','55','0','1','0','0','0','0'
'28113','32','14','6','2','55','0','1','0','0','0','0'
'28113','33','14','6','3','55','0','1','0','0','0','0'
'28113','34','14','6','4','55','0','1','0','0','0','0'
'28113','35','14','6','5','55','0','1','0','0','0','0'
'28113','36','14','6','6','55','0','1','0','0','0','0'
'28113','37','14','6','7','55','0','1','0','0','0','0'
'28113','38','14','6','8','55','0','1','0','0','0','0'
'28113','39','14','6','9','55','0','1','0','0','0','0'
'28113','40','14','6','10','55','0','1','0','0','0','0'
'28113','41','14','6','11','55','0','1','0','0','0','0'
'28113','42','14','6','12','55','0','1','0','0','0','0'
'28113','43','14','6','13','55','0','1','0','0','0','0'
'28113','44','14','6','14','55','0','1','0','0','0','0'
'28113','45','14','6','15','55','0','1','0','0','0','0'
'28113','46','14','6','17','55','0','1','0','0','0','0'
'28113','47','14','6','18','55','0','1','0','0','0','0'
'28113','48','14','6','19','55','0','1','0','0','0','0'
'28113','49','14','6','20','55','0','1','0','0','0','0'
'28113','50','14','6','21','55','0','1','0','0','0','0'
'28113','51','14','6','22','55','0','1','0','0','0','0'
'28113','52','14','6','23','55','0','1','0','0','0','0'
'28113','53','14','6','24','55','0','1','0','0','0','0'
'28113','54','14','6','25','55','0','1','0','0','0','0'
'28113','55','14','6','26','55','0','1','0','0','0','0'
'28113','56','14','6','27','55','0','1','0','0','0','0'
'28113','57','14','6','28','55','0','1','0','0','0','0'
'28113','58','14','6','29','55','0','1','0','0','0','0'
'28113','59','14','6','30','55','0','1','0','0','0','0'
'28113','60','14','6','31','55','0','1','0','0','0','0'
'28113','61','9','3','1','700','0','1','0','0','0','0'
'28113','62','9','3','2','700','0','1','0','0','0','0'
'28113','63','14','8','1','601','0','1','0','0','0','0'
'28113','64','14','3','1','700','0','1','0','0','0','0'
'28113','65','14','3','2','700','0','1','0','0','0','0'
'28113','66','14','3','30','701','0','1','0','0','0','0'
'28113','67','14','3','31','701','0','1','0','0','0','0'
'28113','68','14','8','2','602','0','1','0','0','0','0'
'28113','69','14','8','3','603','0','1','0','0','0','0'
'28113','70','14','8','4','604','0','1','0','0','0','0'
'28113','71','14','8','5','605','0','1','0','0','0','0'
'28113','72','14','16','27','121','0','1','0','0','0','0'
'28113','73','14','16','28','121','0','1','0','0','0','0'
'28113','74','14','16','29','121','0','1','0','0','0','0'
'28113','75','14','16','30','121','0','1','0','0','0','0'
'28113','76','14','16','31','121','0','1','0','0','0','0'
'28113','77','9','3','27','121','0','1','0','0','0','0'
'28113','78','9','3','28','121','0','1','0','0','0','0'
'28113','79','9','3','29','121','0','1','0','0','0','0'
'28113','80','9','3','30','121','0','1','0','0','0','0'
'28113','81','9','3','31','121','0','1','0','0','0','0'
'28113','91','14','9','1','1','0','1','0','0','0','0'
'28113','92','14','9','2','1','0','1','0','0','0','0'
'28113','93','14','9','3','1','0','1','0','0','0','0'
'28113','94','14','9','4','1','0','1','0','0','0','0'
'28113','95','14','9','5','1','0','1','0','0','0','0'
'28113','96','14','9','6','1','0','1','0','0','0','0'
'28113','97','14','9','7','1','0','1','0','0','0','0'
'28113','98','14','9','8','1','0','1','0','0','0','0'
'28113','99','14','9','9','1','0','1','0','0','0','0'
'28113','100','14','9','10','1','0','1','0','0','0','0'
'28113','101','14','9','11','1','0','1','0','0','0','0'
'28113','102','14','9','12','1','0','1','0','0','0','0'
'28113','103','14','9','13','1','0','1','0','0','0','0'
'28113','104','14','9','14','1','0','1','0','0','0','0'
'28113','105','14','9','15','1','0','1','0','0','0','0'
'28113','106','14','9','17','1','0','1','0','0','0','0'
'28113','107','14','9','18','1','0','1','0','0','0','0'
'28113','108','14','9','19','1','0','1','0','0','0','0'
'28113','109','14','9','20','1','0','1','0','0','0','0'
'28113','110','14','9','21','1','0','1','0','0','0','0'
