'28113','0','0','0'
'28113','1','0','1'
'28113','2','0','2'
'28113','10','10','10'
'28113','11','11','11'
'28113','12','12','12'
'28113','13','13','13'
'28113','14','14','14'
'28113','15','15','15'
'28113','16','16','12'
'28113','17','0','17'
'28113','18','0','18'
'28113','19','19','19'
'28113','20','20','20'
'28113','21','0','21'
'28113','22','22','22'
'28113','23','0','23'
'28113','24','24','24'
'28113','25','25','25'
'28113','26','0','26'
'28113','27','0','27'
'28113','28','28','28'
'28113','29','29','29'
'28113','30','30','30'
'28113','31','31','31'
'28113','32','0','32'
'28113','33','0','27'
'28113','34','34','27'
'28113','35','35','27'
'28113','36','36','27'
'28113','37','37','15'
'28113','38','38','14'
'28113','39','39','27'
'28113','40','40','15'
'28113','41','41','27'
'28113','42','0','27'
'28113','43','43','14'
'28113','44','44','14'
'28113','45','45','14'
'28113','46','46','14'
'28113','47','47','14'
'28113','48','48','14'
'28113','49','49','14'
'28113','50','50','14'
'28113','51','51','19'
'28113','52','52','19'
'28113','53','53','0'
'28113','54','54','0'
'28113','55','55','0'
'28113','56','56','0'
'28113','57','57','0'
'28113','58','58','14'
'28113','59','59','0'
'28113','60','60','0'
'28113','61','61','0'
'28113','62','62','13'
'28113','63','63','0'
'28113','64','64','27'
'28113','65','65','24'
'28113','66','66','0'
'28113','67','67','25'
'28113','68','68','0'
'28113','69','69','0'
'28113','70','0','33'
'28113','71','0','34'
'28113','72','72','19'
'28113','73','73','15'
'28113','74','74','15'
'28113','75','75','25'
'28113','76','76','19'
'28113','77','77','24'
'28113','78','78','25'
'28113','79','79','19'
'28113','80','80','24'
'28113','81','81','25'
'28113','82','0','19'
'28113','83','83','22'
'28113','84','84','15'
'28113','85','85','35'
'28113','86','86','15'
'28113','87','0','36'
'28113','88','0','37'
'28113','89','89','14'
'28113','90','90','14'
'28113','91','91','14'
'28113','92','92','0'
'28113','93','93','27'
'28113','94','94','27'
'28113','95','0','27'
'28113','96','0','27'
'28113','97','97','27'
'28113','98','98','27'
'28113','99','99','38'
'28113','100','0','0'
'28113','101','101','0'
'28113','102','102','0'
'28113','103','103','27'
'28113','104','104','27'
'28113','105','105','27'
'28113','106','106','27'
'28113','107','107','27'
'28113','108','108','16'
'28113','109','109','16'
'28113','110','110','16'
'28113','111','111','14'
'28113','112','112','0'
'28113','113','0','39'
'28113','114','0','40'
'28113','115','115','0'
'28113','116','116','0'
'28113','117','0','13'
'28113','118','0','12'
'28113','119','119','16'
'28113','120','120','15'
'28113','121','121','15'
'28113','122','122','15'
'28113','123','123','14'
'28113','124','124','14'
'28113','125','125','14'
'28113','126','126','14'
'28113','127','127','15'
'28113','128','128','15'
'28113','129','129','15'
'28113','130','130','14'
'28113','131','131','15'
'28113','132','132','15'
'28113','133','133','14'
'28113','134','134','14'
'28113','135','135','30'
'28113','136','136','30'
'28113','137','137','30'
'28113','138','138','30'
'28113','139','0','0'
'28113','140','0','0'
'28113','141','0','0'
'28113','142','0','0'
'28113','143','0','0'
'28113','144','0','0'
'28113','145','0','0'
'28113','146','0','0'
'28113','147','147','30'
'28113','148','0','16'
'28113','149','149','19'
'28113','150','0','41'
'28113','151','0','42'
'28113','152','0','28'
'28113','153','0','43'
'28113','154','0','33'
'28113','155','155','14'
'28113','159','0','47'
'28113','160','160','14'
'28113','161','161','14'
'28113','162','162','14'
'28113','163','163','14'
'28113','164','164','14'
'28113','165','165','14'
'28113','166','166','14'
'28113','167','0','47'
'28113','168','40','0'
