'28113','1','101','2'
'28113','1','308','2'
'28113','1','501','2'
'28113','1','502','3'
'28113','2','101','2'
'28113','2','308','2'
'28113','2','501','2'
'28113','2','502','3'
'28113','11','101','2'
'28113','11','308','2'
'28113','11','501','2'
'28113','11','502','3'
'28113','12','101','2'
'28113','12','308','2'
'28113','12','501','2'
'28113','12','502','3'
'28113','13','101','2'
'28113','13','308','2'
'28113','13','501','2'
'28113','13','502','3'
'28113','14','101','2'
'28113','14','308','2'
'28113','14','501','2'
'28113','14','502','3'
