'33627','-100','7219'
'33627','-95','7646'
'33627','-90','8099'
'33627','-85','8579'
'33627','-80','9088'
'33627','-75','9626'
'33627','-70','10196'
'33627','-65','10801'
'33627','-60','11441'
'33627','-55','12119'
'33627','-50','12837'
'33627','-45','13597'
'33627','-40','14403'
'33627','-35','15256'
'33627','-30','16160'
'33627','-25','17118'
'33627','-20','18132'
'33627','-15','19207'
'33627','-10','20345'
'33627','-5','21550'
'33627','0','22827'
'33627','5','24180'
'33627','10','25612'
'33627','15','27130'
'33627','20','28738'
'33627','25','30440'
'33627','30','32244'
