'33627','1','1','1','1','0','0','0','0','1','2','E1/1','1'
'33627','2','2','1','1','0','0','0','0','1','3','E1/2','1'
'33627','3','3','1','1','0','0','0','0','1','3','E1/3','1'
'33627','4','4','1','1','0','0','0','0','1','3','E1/4','1'
'33627','5','5','1','1','0','0','0','0','1','2','E1/5','1'
'33627','6','6','1','0','0','0','0','0','1','1','E1/6','0'
'33627','7','7','1','0','0','0','0','0','1','1','E1/7','0'
'33627','8','8','1','0','0','0','0','0','1','1','E1/8','0'
'33627','9','9','1','0','0','0','0','0','1','1','E1/9','0'
'33627','10','10','1','0','0','0','0','0','1','1','E1/10','0'
'33627','11','11','1','0','0','0','0','0','1','1','E1/11','0'
'33627','12','12','1','0','0','0','0','0','1','1','E1/12','0'
'33627','13','13','1','0','0','0','0','0','1','1','E1/13','0'
'33627','14','14','1','0','0','0','0','0','1','1','E1/14','0'
'33627','15','15','1','0','0','0','0','0','1','1','E1/15','0'
'33627','16','16','1','0','0','0','0','0','1','1','E1/16','0'
'33627','17','17','1','0','0','0','0','0','1','1','E1/17','0'
'33627','18','18','1','0','0','0','0','0','1','1','E1/18','0'
'33627','19','19','1','0','0','0','0','0','1','1','E1/19','0'
'33627','20','20','1','0','0','0','0','0','1','1','E1/20','0'
'33627','21','21','1','0','0','0','0','0','1','1','E1/21','0'
'33627','22','22','1','0','0','0','0','0','1','1','E1/22','0'
'33627','23','23','1','0','0','0','0','0','1','1','E1/23','0'
'33627','24','24','1','0','0','0','0','0','1','1','E1/24','0'
'33627','25','25','1','0','0','0','0','0','1','1','E1/25','0'
'33627','26','26','1','0','0','0','0','0','1','1','E1/26','0'
'33627','27','27','1','0','0','0','0','0','1','1','E1/27','0'
'33627','28','28','1','0','0','0','0','0','1','1','E1/28','0'
'33627','29','29','1','0','0','0','0','0','1','1','E1/29','0'
'33627','30','30','1','0','0','0','0','0','1','1','E1/30','0'
'33627','31','31','1','0','0','0','0','0','1','1','E1/31','0'
'33627','32','32','1','0','0','0','0','0','1','1','E1/32','0'
'33627','33','1','1','1','0','0','0','0','13','1','ge0','1'
'33627','34','2','1','1','0','0','0','0','13','1','ge1','1'
'33627','35','1','2','1','0','0','0','0','13','1','eth0','1'
'33627','37','3','1','1','0','0','0','0','13','1','eth1','1'
