'24150','0.0.0.0','10.200.97.1','0.0.0.0','1','32765',NULL
'24150','10.70.0.0','10.70.20.254','255.255.255.0','1','1500',NULL
'24150','192.168.99.0','10.70.20.254','255.255.255.0','1','1500',NULL
