'24150','1','0','1','Measurement','20160607','20160831','Continuous','0','0','0'
'24150','83','66','0','19','20160330','20160815','1,2,3,4,5,6,7','1530','0','0'
'24150','84','0','1','Tarn_an','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','85','0','1','Tarn_POTS','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','86','60','0','41','20160330','20160815','1,2,3,4,5,6,7','1530','0','0'
'24150','87','0','1','Nikol_POTS','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','88','60','0','42','20160330','20160815','1,2,3,4,5,6,7','1530','0','0'
'24150','89','66','0','42','20160330','20160815','1,2,3,4,5,6,7','1530','0','0'
'24150','90','11','3','Basic Measurement90','20160330','20160815','Continuous','915','0','0'
'24150','91','66','0','60','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','92','60','0','68','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','93','66','0','68','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','94','0','1','Nuks_an','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','95','0','1','Nuks_POTS','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','96','0','1','Mejdu_an','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','97','0','1','Mejdu_POTS','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','98','60','0','79','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','99','66','0','79','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','100','60','0','80','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','101','66','0','80','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','103','60','0','76','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','104','64','0','76','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','105','60','0','77','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','106','64','0','77','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','107','60','0','89','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','108','66','0','89','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','109','60','0','90','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','110','66','0','90','20160330','20160815','1,2,3,4,5,6,7','1545','0','0'
'24150','111','0','1','Baba_an','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','112','0','1','Baba_POTS','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','113','19','1','Baba_9','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','114','0','1','Vojega_an','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','115','0','1','Vojega_POTS','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
'24150','116','19','1','Vojega_9','20160607','20160831','1,2,3,4,5,6,7','0','0','0'
