'24150','2','1','750801',NULL,NULL
'24150','2','2','750201',NULL,NULL
'24150','8','1','88172776700',NULL,NULL
'24150','8','2','88172776701',NULL,NULL
'24150','8','3','88172776702',NULL,NULL
'24150','8','4','88172776703',NULL,NULL
'24150','8','5','88172776704',NULL,NULL
'24150','8','6','88172776705',NULL,NULL
'24150','8','7','88172776706',NULL,NULL
'24150','8','8','88172776707',NULL,NULL
'24150','8','9','88172776708',NULL,NULL
'24150','8','10','88172776709',NULL,NULL
'24150','8','11','88172776710',NULL,NULL
'24150','8','12','88172776711',NULL,NULL
'24150','8','13','88172776712',NULL,NULL
'24150','8','14','88172776713',NULL,NULL
'24150','8','15','88172776714',NULL,NULL
'24150','8','16','88172776715',NULL,NULL
'24150','8','17','88172776716',NULL,NULL
'24150','9','1','88172330232',NULL,NULL
'24150','9','2','88172340660',NULL,NULL
'24150','9','3','88172340780',NULL,NULL
'24150','10','1','88175821144',NULL,NULL
'24150','10','2','88175821159',NULL,NULL
'24150','11','1','88172776732',NULL,NULL
'24150','11','2','88172776733',NULL,NULL
