'24150','1','1','1','1'
'24150','1','1','2','3'
'24150','1','1','3','1'
'24150','1','2','1','1'
'24150','1','2','2','3'
'24150','1','2','3','2'
'24150','1','3','1','2'
'24150','1','3','2','2'
'24150','1','3','3','2'
'24150','2','1','1','1'
'24150','2','1','2','3'
'24150','2','1','3','1'
'24150','2','2','1','1'
'24150','2','2','2','3'
'24150','2','2','3','2'
'24150','2','3','1','2'
'24150','2','3','2','2'
'24150','2','3','3','2'
'24150','3','1','1','1'
'24150','11','1','1','1'
'24150','11','1','2','3'
'24150','11','1','3','1'
'24150','11','2','1','1'
'24150','11','2','2','3'
'24150','11','2','3','2'
'24150','11','3','1','2'
'24150','11','3','2','2'
'24150','11','3','3','2'
'24150','12','1','1','1'
'24150','12','1','2','3'
'24150','12','1','3','1'
'24150','12','2','1','1'
'24150','12','2','2','3'
'24150','12','2','3','2'
'24150','12','3','1','2'
'24150','12','3','2','2'
'24150','12','3','3','2'
'24150','13','1','1','1'
'24150','13','1','2','3'
'24150','13','1','3','1'
'24150','13','2','1','1'
'24150','13','2','2','3'
'24150','13','2','3','2'
'24150','13','3','1','2'
'24150','13','3','2','2'
'24150','13','3','3','2'
'24150','14','1','1','1'
'24150','14','1','2','3'
'24150','14','1','3','1'
'24150','14','2','1','1'
'24150','14','2','2','3'
'24150','14','2','3','2'
'24150','14','3','1','2'
'24150','14','3','2','2'
'24150','14','3','3','2'
