'24150','0','0','0'
'24150','1','1','1'
'24150','1','2','2'
'24150','1','3','3'
'24150','3','1','4'
'24150','3','2','5'
'24150','3','3','6'
'24150','2','1','7'
'24150','2','2','8'
'24150','2','3','9'
'24150','4','4','10'
'24150','5','4','11'
'24150','4','6','12'
'24150','4','7','13'
'24150','6','1','14'
'24150','6','2','15'
'24150','6','3','16'
'24150','7','1','17'
'24150','7','2','18'
'24150','7','3','19'
