'24150','93',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','94',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','95',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'24150','96',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'24150','97',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'24150','98',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','99',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','100',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','101',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','102',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'24150','103',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'24150','104',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'24150','105',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','106',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','107',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','108',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','109',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'24150','110',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'24150','111',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'24150','112',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'24150','113',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
