'24150','##77','38'
'24150','##88','131'
'24150','##99','31'
'24150','#130*','70'
'24150','#132*','72'
'24150','*#131*','122'
'24150','*131#','36'
'24150','*131*','124'
'24150','*132*','71'
'24150','*133#','123'
'24150','*133*','125'
'24150','*134*','126'
'24150','*37#','11'
'24150','*39#','34'
'24150','*45#','5'
'24150','*71#','35'
'24150','*72#','127'
'24150','*8','146'
'24150','*91','166'
'24150','*92','167'
'24150','2','2'
'24150','3','1'
'24150','4','3'
'24150','5','8'
'24150','6','5'
'24150','71','35'
'24150','72','7'
'24150','737','11'
'24150','739','34'
'24150','745','5'
'24150','75','160'
'24150','78','109'
'24150','8','11'
'24150','90','133'
'24150','91','13'
'24150','92','14'
'24150','93','15'
'24150','94','16'
'24150','95','17'
'24150','96','18'
'24150','97','19'
'24150','98','20'
'24150','99','21'
