'24150','15','1','1','2','-1','0','1',NULL,'1009','0'
'24150','16','1','1','2','-1','0','1',NULL,'1010','0'
'24150','18','2','2','2','-1','0','1',NULL,'1007','0'
'24150','19','2','2','2','-1','0','1',NULL,'1012','0'
'24150','41','3','3','2','-1','0','1',NULL,'1015','0'
'24150','42','3','3','2','-1','0','1',NULL,'1016','0'
'24150','49','4','4','2','-1','0','1',NULL,'1017','0'
'24150','50','4','4','2','-1','0','1',NULL,'1018','0'
'24150','58','5','5','2','-1','0','1',NULL,'1005','0'
'24150','59','5','5','2','-1','0','1',NULL,'1006','0'
'24150','60','6','6','2','-1','0','1',NULL,'1019','0'
'24150','68','6','6','2','-1','0','1',NULL,'1020','0'
'24150','79','7','7','2','-1','0','1',NULL,'1021','0'
'24150','80','7','7','2','-1','0','1',NULL,'1022','0'
'24150','89','8','8','2','-1','0','1',NULL,'1025','0'
'24150','90','8','8','2','-1','0','1',NULL,'1026','0'
