'24150','17','1','5','8','15'
'24150','17','1','5','9','16'
'24150','22','1','6','10','15'
'24150','22','1','6','11','16'
'24150','23','1','7','12','15'
'24150','23','1','7','13','16'
'24150','26','1','2','2','15'
'24150','26','1','2','3','16'
'24150','27','1','3','4','15'
'24150','27','1','3','5','16'
'24150','28','1','4','6','15'
'24150','28','1','4','7','16'
'24150','29','1','1','0','15'
'24150','29','1','1','1','16'
'24150','31','1','5','8','18'
'24150','31','1','5','9','19'
'24150','33','1','1','0','18'
'24150','33','1','1','1','19'
'24150','34','1','2','2','18'
'24150','34','1','2','3','19'
'24150','35','1','3','4','18'
'24150','35','1','3','5','19'
'24150','36','1','4','6','18'
'24150','36','1','4','7','19'
'24150','37','1','6','10','18'
'24150','37','1','6','11','19'
'24150','38','1','7','12','18'
'24150','38','1','7','13','19'
'24150','43','1','1','0','41'
'24150','43','1','1','1','42'
'24150','44','1','2','2','41'
'24150','44','1','2','3','42'
'24150','45','1','3','4','41'
'24150','45','1','3','5','42'
'24150','46','1','4','6','41'
'24150','46','1','4','7','42'
'24150','51','1','1','0','49'
'24150','51','1','1','1','50'
'24150','52','1','2','2','49'
'24150','52','1','2','3','50'
'24150','53','1','3','4','49'
'24150','53','1','3','5','50'
'24150','54','1','4','6','49'
'24150','54','1','4','7','50'
'24150','55','1','5','8','49'
'24150','55','1','5','9','50'
'24150','61','1','1','0','58'
'24150','61','1','1','1','59'
'24150','62','1','2','2','58'
'24150','62','1','2','3','59'
'24150','63','1','3','4','58'
'24150','63','1','3','5','59'
'24150','64','1','4','6','58'
'24150','64','1','4','7','59'
'24150','65','1','5','8','58'
'24150','65','1','5','9','59'
'24150','71','1','1','0','60'
'24150','71','1','1','1','68'
'24150','72','1','2','2','60'
'24150','72','1','2','3','68'
'24150','73','1','3','4','60'
'24150','73','1','3','5','68'
'24150','81','1','1','0','79'
'24150','81','1','1','1','80'
'24150','82','1','2','2','79'
'24150','82','1','2','3','80'
'24150','83','1','3','4','79'
'24150','83','1','3','5','80'
'24150','84','1','4','6','79'
'24150','84','1','4','7','80'
'24150','85','1','5','8','79'
'24150','85','1','5','9','80'
'24150','86','1','6','10','79'
'24150','86','1','6','11','80'
'24150','87','1','7','12','79'
'24150','87','1','7','13','80'
'24150','88','1','8','14','79'
'24150','88','1','8','15','80'
'24150','91','1','1','0','89'
'24150','91','1','1','1','90'
'24150','92','1','2','2','89'
'24150','92','1','2','3','90'
'24150','93','1','3','4','89'
'24150','93','1','3','5','90'
'24150','94','1','4','6','89'
'24150','94','1','4','7','90'
'24150','95','1','5','8','89'
'24150','95','1','5','9','90'
'24150','96','1','6','10','89'
'24150','96','1','6','11','90'
