'24150','17','1','5','16','1','1','8'
'24150','17','1','5','16','1','2','9'
'24150','22','1','6','16','1','1','10'
'24150','22','1','6','16','1','2','11'
'24150','23','1','7','16','1','1','12'
'24150','23','1','7','16','1','2','13'
'24150','26','1','2','16','1','1','2'
'24150','26','1','2','16','1','2','3'
'24150','27','1','3','16','1','1','4'
'24150','27','1','3','16','1','2','5'
'24150','28','1','4','16','1','1','6'
'24150','28','1','4','16','1','2','7'
'24150','29','1','1','16','1','1','0'
'24150','29','1','1','16','1','2','1'
'24150','31','1','5','16','1','1','8'
'24150','31','1','5','16','1','2','9'
'24150','33','1','1','16','1','1','0'
'24150','33','1','1','16','1','2','1'
'24150','34','1','2','16','1','1','2'
'24150','34','1','2','16','1','2','3'
'24150','35','1','3','16','1','1','4'
'24150','35','1','3','16','1','2','5'
'24150','36','1','4','16','1','1','6'
'24150','36','1','4','16','1','2','7'
'24150','37','1','6','16','1','1','10'
'24150','37','1','6','16','1','2','11'
'24150','38','1','7','16','1','1','12'
'24150','38','1','7','16','1','2','13'
'24150','43','1','1','16','1','1','0'
'24150','43','1','1','16','1','2','1'
'24150','44','1','2','16','1','1','2'
'24150','44','1','2','16','1','2','3'
'24150','45','1','3','16','1','1','4'
'24150','45','1','3','16','1','2','5'
'24150','46','1','4','16','1','1','6'
'24150','46','1','4','16','1','2','7'
'24150','51','1','1','16','1','1','0'
'24150','51','1','1','16','1','2','1'
'24150','52','1','2','16','1','1','2'
'24150','52','1','2','16','1','2','3'
'24150','53','1','3','16','1','1','4'
'24150','53','1','3','16','1','2','5'
'24150','54','1','4','16','1','1','6'
'24150','54','1','4','16','1','2','7'
'24150','55','1','5','16','1','1','8'
'24150','55','1','5','16','1','2','9'
'24150','61','1','1','16','1','1','0'
'24150','61','1','1','16','1','2','1'
'24150','62','1','2','16','1','1','2'
'24150','62','1','2','16','1','2','3'
'24150','63','1','3','16','1','1','4'
'24150','63','1','3','16','1','2','5'
'24150','64','1','4','16','1','1','6'
'24150','64','1','4','16','1','2','7'
'24150','65','1','5','16','1','1','8'
'24150','65','1','5','16','1','2','9'
'24150','71','1','1','16','1','1','0'
'24150','71','1','1','16','1','2','1'
'24150','72','1','2','16','1','1','2'
'24150','72','1','2','16','1','2','3'
'24150','73','1','3','16','1','1','4'
'24150','73','1','3','16','1','2','5'
'24150','81','1','1','16','1','1','0'
'24150','81','1','1','16','1','2','1'
'24150','82','1','2','16','1','1','2'
'24150','82','1','2','16','1','2','3'
'24150','83','1','3','16','1','1','4'
'24150','83','1','3','16','1','2','5'
'24150','84','1','4','16','1','1','6'
'24150','84','1','4','16','1','2','7'
'24150','85','1','5','16','1','1','8'
'24150','85','1','5','16','1','2','9'
'24150','86','1','6','16','1','1','10'
'24150','86','1','6','16','1','2','11'
'24150','87','1','7','16','1','1','12'
'24150','87','1','7','16','1','2','13'
'24150','88','1','8','16','1','1','14'
'24150','88','1','8','16','1','2','15'
'24150','91','1','1','16','1','1','0'
'24150','91','1','1','16','1','2','1'
'24150','92','1','2','16','1','1','2'
'24150','92','1','2','16','1','2','3'
'24150','93','1','3','16','1','1','4'
'24150','93','1','3','16','1','2','5'
'24150','94','1','4','16','1','1','6'
'24150','94','1','4','16','1','2','7'
'24150','95','1','5','16','1','1','8'
'24150','95','1','5','16','1','2','9'
'24150','96','1','6','16','1','1','10'
'24150','96','1','6','16','1','2','11'
