'24150','1','0',NULL,'1','154','0'
'24150','2','0',NULL,'1','156','0'
'24150','3','0',NULL,'1','158','0'
'24150','4','0',NULL,'1','160','0'
'24150','5','0',NULL,'1','162','0'
'24150','6','0',NULL,'1','166','0'
'24150','7','0',NULL,'1','168','0'
'24150','9','0',NULL,'1','153','0'
'24150','10','0',NULL,'1','155','0'
'24150','11','0',NULL,'1','223','0'
'24150','12','1',NULL,'1','166','0'
'24150','13','0',NULL,'1','241','0'
'24150','14','0',NULL,'1','161','0'
'24150','15','0',NULL,'1','242','0'
'24150','16','0',NULL,'1','243','0'
'24150','21','0',NULL,'1','324','0'
'24150','22','0',NULL,'1','164','0'
'24150','23','0',NULL,'1','157','0'
'24150','24','0',NULL,'1','159','0'
'24150','25','0',NULL,'1','336','0'
'24150','26','0',NULL,'1','337','0'
'24150','27','0',NULL,'1','338','0'
'24150','28','0',NULL,'1','339','0'
'24150','29','0',NULL,'1','348','0'
'24150','30','0',NULL,'1','361','0'
'24150','31','0',NULL,'1','362','0'
'24150','32','0',NULL,'1','363','0'
'24150','33','0',NULL,'1','364','0'
'24150','34','0',NULL,'1','365','0'
