'24150','-1','G711A,G711U OTC'
'24150','0','G711A,G711U 20ms'
'24150','1','G711A,G711U,G729 20ms'
'24150','2','G711A,G711U,G729 30ms'
'24150','3','G711A,G711U,G729 20ms,Fax,Video'
'24150','4','G711A,G711U,G729 30ms,Fax,Video'
'24150','5','Taksofon'
'24150','6','rfc2833'
'24150','7','G711A,G711U 20ms_+RFC2833'
