'24150','2','-1','-1',NULL,'-1','2','2',NULL
'24150','2','0','-1','X','4','2','2',NULL
'24150','2','4','-1','X','4','2','2',NULL
'24150','3','-1','-1',NULL,'-1','3','3',NULL
'24150','3','0','-1','X','4','3','3',NULL
'24150','3','4','-1','X','4','3','3',NULL
'24150','4','-1','-1',NULL,'-1','6','6',NULL
'24150','4','-1','1','+78172','0','6','6',NULL
'24150','5','-1','-1',NULL,'-1','3','3',NULL
'24150','6','-1','-1',NULL,'-1','6','6',NULL
'24150','6','0','-1','X','4','6','6',NULL
'24150','6','4','-1','X','4','6','6',NULL
'24150','7','-1','-1',NULL,'-1','6','6',NULL
'24150','7','-1','1','+78172','0','6','6',NULL
'24150','8','-1','-1',NULL,'-1','3','3',NULL
'24150','8','-1','2','+112.....','-1','3','3',NULL
'24150','9','-1','-1',NULL,'-1','5','5',NULL
'24150','10','-1','-1',NULL,'-1','5','5',NULL
'24150','11','-1','-1',NULL,'-1','4','4','21'
'24150','11','0','-1','.','2','4','4','21'
'24150','12','-1','-1',NULL,'-1','8','8','21'
'24150','12','0','-1','.','2','8','8','21'
'24150','13','-1','-1',NULL,'-1','11','11',NULL
'24150','13','0','-1','.','2','11','11',NULL
'24150','15','-1','-1',NULL,'-1','5','5',NULL
'24150','18','-1','-1',NULL,'-1','5','5',NULL
'24150','19','-1','-1',NULL,'-1','5','5',NULL
'24150','20','-1','-1',NULL,'-1','4','4','21'
'24150','20','0','-1','.','2','4','4','21'
'24150','21','-1','-1',NULL,'-1','8','8','21'
'24150','21','0','-1','.','2','8','8','21'
'24150','22','-1','-1',NULL,'-1','11','11',NULL
'24150','22','0','-1','.','2','11','11',NULL
'24150','23','-1','-1',NULL,'-1','4','4','21'
'24150','23','0','-1','.','2','4','4','21'
'24150','24','-1','-1',NULL,'-1','8','8','21'
'24150','24','0','-1','.','2','8','8','21'
'24150','25','-1','-1',NULL,'-1','11','11',NULL
'24150','25','0','-1','.','2','11','11',NULL
'24150','26','-1','-1',NULL,'-1','4','4','21'
'24150','26','0','-1','.','2','4','4','21'
'24150','27','-1','-1',NULL,'-1','8','8','21'
'24150','27','0','-1','.','2','8','8','21'
'24150','28','-1','-1',NULL,'-1','11','11',NULL
'24150','28','0','-1','.','2','11','11',NULL
'24150','30','-1','-1',NULL,'-1','4','4','21'
'24150','30','0','-1','.','2','4','4','21'
'24150','31','-1','-1',NULL,'-1','8','8','21'
'24150','31','0','-1','.','2','8','8','21'
'24150','32','-1','-1',NULL,'-1','11','11',NULL
'24150','32','0','-1','.','2','11','11',NULL
'24150','33','-1','-1',NULL,'-1','4','4','21'
'24150','33','0','-1','.','2','4','4','21'
'24150','34','-1','-1',NULL,'-1','8','8','21'
'24150','34','0','-1','.','2','8','8','21'
'24150','35','-1','-1',NULL,'-1','11','11',NULL
'24150','35','0','-1','.','2','11','11',NULL
'24150','36','-1','-1',NULL,'-1','4','4','21'
'24150','36','0','-1','.','2','4','4','21'
'24150','37','-1','-1',NULL,'-1','8','8','21'
'24150','37','0','-1','.','2','8','8','21'
'24150','38','-1','-1',NULL,'-1','11','11',NULL
'24150','38','0','-1','.','2','11','11',NULL
'24150','39','-1','-1',NULL,'-1','4','4','21'
'24150','39','0','-1','.','2','4','4','21'
'24150','40','-1','-1',NULL,'-1','8','8','21'
'24150','40','0','-1','.','2','8','8','21'
'24150','41','-1','-1',NULL,'-1','11','11',NULL
'24150','41','0','-1','.','2','11','11',NULL
'24150','47','-1','-1',NULL,'-1','4','4','21'
'24150','47','0','-1','.','2','4','4','21'
'24150','48','-1','-1',NULL,'-1','8','8','21'
'24150','48','0','-1','.','2','8','8','21'
'24150','49','-1','-1',NULL,'-1','11','11',NULL
'24150','49','0','-1','.','2','11','11',NULL
'24150','51','-1','-1',NULL,'-1','4','4','21'
'24150','51','0','-1','X','0','4','4','21'
'24150','52','-1','-1',NULL,'-1','8','8','21'
'24150','52','0','-1','X','0','8','8','21'
'24150','53','-1','-1',NULL,'-1','11','11',NULL
'24150','53','0','-1','X','0','11','11',NULL
'24150','54','-1','-1',NULL,'-1','2','2',NULL
'24150','55','-1','-1',NULL,'-1','5','5',NULL
'24150','61','-1','-1',NULL,'-1','4','4','21'
'24150','61','0','-1','X','0','4','4','21'
'24150','62','-1','-1',NULL,'-1','8','8','21'
'24150','62','0','-1','X','0','8','8','21'
'24150','63','-1','-1',NULL,'-1','11','11',NULL
'24150','63','0','-1','X','0','11','11',NULL
'24150','64','-1','-1',NULL,'-1','2','2',NULL
'24150','65','-1','-1',NULL,'-1','5','5',NULL
'24150','66','-1','-1',NULL,'-1','3','3',NULL
'24150','71','-1','-1',NULL,'-1','4','4','21'
'24150','71','0','-1','X','0','4','4','21'
'24150','72','-1','-1',NULL,'-1','8','8','21'
'24150','72','0','-1','X','0','8','8','21'
'24150','73','-1','-1',NULL,'-1','11','11',NULL
'24150','73','0','-1','X','0','11','11',NULL
'24150','73','4','-1','X','0','11','11',NULL
'24150','74','-1','-1',NULL,'-1','2','2',NULL
'24150','75','-1','-1',NULL,'-1','5','5',NULL
'24150','1111','-1','-1',NULL,'-1','6','6',NULL
'24150','1111','-1','1','+78172','0','6','6',NULL
