'24150','10','2','0','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','2','1','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','2','2','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','3','0','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','3','1','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','3','2','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','4','0','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','4','1','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','4','2','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','5','0','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','5','1','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','5','2','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','6','0','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','6','1','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','6','2','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','7','0','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','7','1','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','7','2','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','8','0','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','8','1','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','8','2','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','9','0','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','9','1','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','10','9','2','Ordinary Subscriber','0','0','255','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','11','0','0','basic variant','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0'
'24150','11','0','1','basic variant','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0'
'24150','11','0','2','basic variant','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0'
'24150','11','1','0','variant with SeizAckn signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0'
'24150','11','1','1','variant with SeizAckn signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0'
'24150','11','1','2','variant with SeizAckn signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0'
'24150','11','2','0','variant with FRLS signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0'
'24150','11','2','1','variant with FRLS signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0'
'24150','11','2','2','variant with FRLS signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0'
'24150','12','0','0','variant 0','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','0','1','variant 0','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','0','2','variant 0','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','1','0','variant 1','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','1','1','variant 1','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','1','2','variant 1','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','2','0','variant 2','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','2','1','variant 2','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','2','2','variant 2','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','3','0','variant without clearing signals','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','3','1','variant without clearing signals','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','12','3','2','variant without clearing signals','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','13','0','0','basic variant','0','8','255','0','0','0','0','0','0','0','0','0','3','0','1','0','0','0'
'24150','13','0','1','basic variant','0','8','255','0','0','0','0','0','0','0','0','0','3','0','1','0','0','0'
'24150','13','0','2','basic variant','0','8','255','0','0','0','0','0','0','0','0','0','3','0','1','0','0','0'
'24150','13','1','0','variant with FRLS signal','0','8','255','0','0','0','0','0','0','0','0','0','3','0','1','0','0','0'
'24150','13','1','1','variant with FRLS signal','0','8','255','0','0','0','0','0','0','0','0','0','3','0','1','0','0','0'
'24150','13','1','2','variant with FRLS signal','0','8','255','0','0','0','0','0','0','0','0','0','3','0','1','0','0','0'
'24150','15','0','0','variant 0','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','0','1','variant 0','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','0','2','variant 0','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','1','0','variant 1','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','1','1','variant 1','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','1','2','variant 1','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','2','0','variant 2','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','2','1','variant 2','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','2','2','variant 2','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','3','0','variant without clearing signals','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','3','1','variant without clearing signals','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','15','3','2','variant without clearing signals','0','0','255','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0'
'24150','16','0','0','basic variant','0','0','255','2','128','127','255','0','0','0','0','20','0','0','0','0','0','0'
'24150','16','0','1','basic variant','0','0','255','2','128','127','255','0','0','0','0','20','0','0','0','0','0','0'
'24150','16','0','2','basic variant','0','0','255','2','128','127','255','0','0','0','0','20','0','0','0','0','0','0'
'24150','17','0','0','basic variant','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
'24150','17','0','1','basic variant','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0'
